Protein IDs	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10
sp|P04080|CYTB_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|P04083|ANXA1_HUMAN	84456	97899	5078.3	8333	105140	95500	3356.3	8775.7	107220	105210
sp|P04264|K2C1_HUMAN;sp|Q7Z794|K2C1B_HUMAN	132580	148090	7550	14269	156580	252380	3770.2	21322	284420	288000
sp|P04406|G3P_HUMAN	317800	344820	12607	31102	364460	534280	17386	41824	604950	598050
sp|P04792|HSPB1_HUMAN	45749	50655	4491	7780	53562	260750	3777.5	22513	306110	309040
sp|P04843|RPN1_HUMAN	68648	75560	1467.6	7197.4	79595	114940	1285.2	10435	129270	125140
sp|P04899|GNAI2_HUMAN;sp|P11488|GNAT1_HUMAN;sp|P63096|GNAI1_HUMAN;sp|P19087|GNAT2_HUMAN;sp|P09471|GNAO_HUMAN;sp|P08754|GNAI3_HUMAN;sp|A8MTJ3|GNAT3_HUMAN;sp|P38405|GNAL_HUMAN;sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN	8876.8	10375	1126.9	1262.3	11322	20146	1484	2152	22300	22781
sp|Q7L7L0|H2A3_HUMAN;sp|P04908|H2A1B_HUMAN;sp|Q71UI9|H2AV_HUMAN;sp|P0C0S5|H2AZ_HUMAN;REV__sp|Q8NB25|F184A_HUMAN	10649	10481	763.14	963.91	10891	18655	0	1417.5	20578	20860
sp|P05023|AT1A1_HUMAN	8704.1	8086.4	955.93	1462	8506.8	16975	1134.6	1637.7	17670	18110
sp|P05114|HMGN1_HUMAN	25672	27716	1330.9	2949.9	27853	75123	260.49	6185.6	82463	83728
sp|P05120|PAI2_HUMAN	7139.7	7401.3	866.89	1036.9	8055.4	34729	0	2932.9	39970	39086
sp|P05141|ADT2_HUMAN;sp|P12236|ADT3_HUMAN;sp|P12235|ADT1_HUMAN	26439	29654	1204	3295.1	32036	58827	666.81	5193.6	65237	64598
sp|P05198|IF2A_HUMAN	12147	12302	1535.6	1597.6	13651	27051	611.47	2617.1	29408	27386
sp|P05204|HMGN2_HUMAN;sp|O00479|HMGN4_HUMAN	91664	92015	11840	12947	102020	227160	1838	22837	264010	245040
sp|P05386|RLA1_HUMAN	2414	3244.7	241.75	366.45	3405	10846	460.21	1181.8	13753	13771
sp|P05387|RLA2_HUMAN	52694	56907	3732.2	5796.4	60744	118930	894.69	10038	132730	131110
sp|P05388|RLA0_HUMAN;sp|Q8NHW5|RLA0L_HUMAN	27243	31848	2928.3	3926.2	36593	82437	779.96	7811.7	91259	91524
sp|P05452|TETN_HUMAN	1564.8	2510.4	129.3	325.91	2329.1	5993.6	348.42	343.48	6037.1	6497
sp|P05455|LA_HUMAN	75646	86146	5502.5	10949	93877	261470	0	24448	302830	307860
sp|P05496|AT5G1_HUMAN;sp|Q06055|AT5G2_HUMAN;sp|P48201|AT5G3_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|P05543|THBG_HUMAN	7352.3	4196	329.63	578.19	5019	21229	0	1682.7	25042	26336
sp|P06396|GELS_HUMAN	37180	41300	4079	4963.3	47278	106740	919.31	9519.7	126250	119290
sp|P06454|PTMA_HUMAN	102280	104760	7314.2	12376	111060	187070	4756.2	17841	210670	202870
sp|P06576|ATPB_HUMAN	104370	123200	3566.3	10746	130190	153070	7603.4	14089	173050	165850
sp|P06703|S10A6_HUMAN	6778.7	7776.9	878.01	1130	8062.5	37109	0	3314.6	44161	41906
sp|P06733|ENOA_HUMAN;sp|P13929|ENOB_HUMAN;sp|P09104|ENOG_HUMAN	308150	337760	19650	36432	363070	888540	14436	73506	1017600	1010800
sp|P06744|G6PI_HUMAN	94026	101940	5320.8	11147	112400	317510	1318.2	26324	354330	348110
sp|P06748|NPM_HUMAN	143690	155700	6146.7	19126	162980	385780	3200.4	35952	432910	430690
sp|P06753|TPM3_HUMAN;sp|P07951|TPM2_HUMAN;sp|P09493|TPM1_HUMAN	18303	21346	1445	2644.9	22190	59141	713.85	4432.8	65082	62671
sp|P07108|ACBP_HUMAN	41615	44037	2659.1	5213.2	44727	99604	0	9543.4	109200	112350
sp|P07195|LDHB_HUMAN;REV__sp|Q3KR16|PKHG6_HUMAN	183530	197530	10949	20331	213520	458290	3314.1	38738	513430	513430
sp|P07237|PDIA1_HUMAN;sp|Q13087|PDIA2_HUMAN	162830	182740	16020	30829	197070	1254100	2595.1	104860	1471400	1463400
sp|P07305|H10_HUMAN	9237.8	9779.2	857.63	901.62	10345	23161	0	1839.6	27030	27724
sp|P07339|CATD_HUMAN	60294	70344	5136	9740.8	75215	276790	719.29	23464	325090	323190
sp|P07355|ANXA2_HUMAN;sp|A6NMY6|AXA2L_HUMAN	66811	76731	5203.3	9990.6	81262	218040	491.16	19750	235500	234500
sp|P07437|TBB5_HUMAN;sp|Q9BVA1|TBB2B_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q3ZCM7|TBB8_HUMAN;sp|A6NNZ2|TBB8L_HUMAN;sp|Q9BUF5|TBB6_HUMAN;sp|Q9H4B7|TBB1_HUMAN	279950	316730	21706	35010	339670	498190	14806	47169	576220	573370
sp|P07686|HEXB_HUMAN	11908	14875	1521.5	1871.3	15815	37296	1202.6	3433.3	44489	45042
sp|P07737|PROF1_HUMAN	190790	218590	10395	19785	242320	326380	8024.9	29537	381410	381600
sp|P07741|APT_HUMAN	6640.1	7845.6	857.88	997.42	8310.1	16391	0	1699.6	17975	18418
sp|P07814|SYEP_HUMAN	65537	76383	4999	8636.5	80902	163790	2890.6	14310	187660	180640
sp|P07900|HS90A_HUMAN;sp|Q58FG0|HS905_HUMAN;sp|Q58FG1|HS904_HUMAN	228030	250440	12724	23439	262630	333070	9962.6	28399	369140	366160
sp|P07910|HNRPC_HUMAN;sp|O60812|HNRC1_HUMAN;sp|B2RXH8|HNRC2_HUMAN;sp|P0DMR1|HNRC4_HUMAN;sp|B7ZW38|HNRC3_HUMAN	225440	239960	18644	26325	257150	414030	7110	39331	470960	464040
sp|P07954|FUMH_HUMAN	8976.7	9082.3	1009.7	730.15	10559	13870	1635.6	1301.6	13946	13582
sp|P07996|TSP1_HUMAN	8171.7	10362	1009.5	1357.5	11605	19761	1425.6	1907.5	23664	24362
sp|P08133|ANXA6_HUMAN	297840	316750	14514	31499	339470	431060	11880	41561	489100	488630
sp|P08195|4F2_HUMAN	32870	39905	2352.8	4567.8	43240	60516	2827.3	5964	68360	67880
sp|P08238|HS90B_HUMAN;sp|Q58FF7|H90B3_HUMAN;sp|Q14568|HS902_HUMAN;sp|Q58FF6|H90B4_HUMAN	626790	673930	34914	67363	706790	1309700	19782	107880	1479100	1435800
sp|P08311|CATG_HUMAN	21438	22626	2095.1	4035.5	24612	126320	0	10514	146940	151700
sp|P08559|ODPA_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|P08567|PLEK_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|P08575|PTPRC_HUMAN	36209	41466	925.05	3204.3	45413	35727	3708.6	3634.5	39318	40848
sp|P08579|RU2B_HUMAN	13536	14783	0	1482.6	14600	25270	0	2132.5	27992	27900
sp|P08621|RU17_HUMAN	12495	12967	807.43	1231.9	13485	24937	0	1769.6	28967	26069
sp|P08670|VIME_HUMAN;sp|P14136|GFAP_HUMAN;sp|P17661|DESM_HUMAN;sp|P78386|KRT85_HUMAN;sp|P07197|NFM_HUMAN;sp|Q01546|K22O_HUMAN;sp|P12035|K2C3_HUMAN;sp|Q9NSB2|KRT84_HUMAN;sp|P07196|NFL_HUMAN;sp|Q8N1N4|K2C78_HUMAN;sp|Q14533|KRT81_HUMAN;sp|Q16352|AINX_HUMAN;sp|P78385|KRT83_HUMAN;sp|O43790|KRT86_HUMAN;sp|P05787|K2C8_HUMAN;sp|P41219|PERI_HUMAN;sp|P08729|K2C7_HUMAN;sp|P12036|NFH_HUMAN	314440	346660	7986.2	32010	368550	272590	19915	26399	305330	298900
sp|P08708|RS17_HUMAN	35800	39441	3475.1	4405.7	41795	73428	274.47	8104.9	86751	86824
sp|P08758|ANXA5_HUMAN	33797	39142	1428.6	3881.3	41862	85173	501.74	7173.3	103820	102960
sp|P08865|RSSA_HUMAN	76731	88729	5223.6	10215	96305	200750	3004.7	18595	239180	233400
sp|P09012|SNRPA_HUMAN	44005	48607	3791.7	5518.1	51700	97144	2760.3	10733	101000	96517
sp|P09211|GSTP1_HUMAN	44853	56044	2459.2	6286.3	58220	134250	2330.9	12797	163340	174440
sp|P09382|LEG1_HUMAN	23540	26305	0	2932.1	28687	112720	0	8274.7	129240	133980
sp|P09429|HMGB1_HUMAN;sp|B2RPK0|HGB1A_HUMAN;sp|P23497|SP100_HUMAN	40610	40638	1802.8	4827.2	43748	113460	0	11181	126020	122000
sp|P09496|CLCA_HUMAN	17957	20271	1638.9	1883.2	21319	37084	0	3257.2	40460	40875
sp|P09622|DLDH_HUMAN	12556	12894	0	1039.8	13605	18463	0	1678.1	20570	19201
sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN	73553	84383	5915.7	8668.8	83021	95807	6018.4	9172.1	101900	111980
sp|P09874|PARP1_HUMAN	100790	105840	6681.5	12237	112760	243710	2553.6	23052	268820	269700
sp|P09960|LKHA4_HUMAN	8446.3	10353	834.12	1020.7	9827.5	21060	0	2122.9	23858	21520
sp|P09972|ALDOC_HUMAN	14122	17432	1492.5	1855.2	16444	32750	241.58	3190.6	36413	33487
sp|P0C0L5|CO4B_HUMAN;sp|P0C0L4|CO4A_HUMAN	14196	16107	1452.4	1608.3	15167	23627	1549.3	2095.1	26376	24768
sp|P62987|RL40_HUMAN;sp|P62979|RS27A_HUMAN;sp|P0CG47|UBB_HUMAN;sp|P0CG48|UBC_HUMAN	174960	190830	5070.1	15912	193120	182020	8601.5	15051	202150	199440
sp|Q01105|SET_HUMAN;sp|P0DME0|SETLP_HUMAN	92813	104710	3012.3	9089	107720	146140	2335.7	12879	169670	168680
sp|P0DMV9|HS71B_HUMAN;sp|P0DMV8|HS71A_HUMAN	34214	41493	3329.7	6008.6	41998	140540	2191.4	12534	162230	156000
sp|Q01081|U2AF1_HUMAN;sp|P0DN76|U2AF5_HUMAN	4826.7	5716.2	532.71	359.37	6327.1	6501.7	780.22	419.52	7751.9	7364.8
sp|P0DP25|CALM3_HUMAN;sp|P0DP24|CALM2_HUMAN;sp|P0DP23|CALM1_HUMAN	105890	117250	4938.4	13590	120100	143870	7934.5	14641	157400	160380
sp|P10155|RO60_HUMAN	12561	14847	1250.3	1620.7	15467	32044	0	3035.7	38454	38335
sp|P10244|MYBB_HUMAN	0	0	0	0	0	0	0	0	0	0
sp|P10412|H14_HUMAN;sp|Q02539|H11_HUMAN;sp|P22492|H1T_HUMAN	326100	333750	9525.4	33614	357340	562570	12455	44354	628590	625200
sp|P10599|THIO_HUMAN	35055	37135	115.51	4069.9	41194	84695	487.61	7805.2	96568	94925
sp|P10606|COX5B_HUMAN	6234.9	7454.1	495.84	834.45	8296.5	14012	0	1198.9	14936	15809
sp|P10619|PPGB_HUMAN	5560.9	6137.8	651.33	671.75	6900.6	15150	0	1421.5	17607	18573
sp|P10768|ESTD_HUMAN	3219	4284.4	327.06	467.22	5245.9	11961	867.56	978.89	13830	14145
sp|P10809|CH60_HUMAN	260120	286810	16109	31116	308980	712280	8875.9	62135	815840	816390
sp|P11021|BIP_HUMAN	274870	304130	19410	33909	321010	698130	8065.8	63525	790620	790800
sp|P11142|HSP7C_HUMAN;sp|P54652|HSP72_HUMAN	693040	745060	26796	70817	786630	1211400	20104	109610	1374800	1377300
