Protein IDs	Reporter intensity corrected 1 PNNL SC boost0ng_run2	Reporter intensity corrected 2 PNNL SC boost0ng_run2	Reporter intensity corrected 3 PNNL SC boost0ng_run2	Reporter intensity corrected 4 PNNL SC boost0ng_run2	Reporter intensity corrected 5 PNNL SC boost0ng_run2	Reporter intensity corrected 6 PNNL SC boost0ng_run2	Reporter intensity corrected 7 PNNL SC boost0ng_run2	Reporter intensity corrected 8 PNNL SC boost0ng_run2	Reporter intensity corrected 9 PNNL SC boost0ng_run2	Reporter intensity corrected 10 PNNL SC boost0ng_run2	Reporter intensity 1 PNNL SC boost0ng_run2	Reporter intensity 2 PNNL SC boost0ng_run2	Reporter intensity 3 PNNL SC boost0ng_run2	Reporter intensity 4 PNNL SC boost0ng_run2	Reporter intensity 5 PNNL SC boost0ng_run2	Reporter intensity 6 PNNL SC boost0ng_run2	Reporter intensity 7 PNNL SC boost0ng_run2	Reporter intensity 8 PNNL SC boost0ng_run2	Reporter intensity 9 PNNL SC boost0ng_run2	Reporter intensity 10 PNNL SC boost0ng_run2
Q495C1	246560	225960	180960	147460	138340	116650	123200	142020	149380	5402.1	246560	225960	180960	147460	138340	116650	123200	142020	149380	5402.1
Q63ZY3	18392	12701	18496	9663.8	11213	9092.8	12599	13031	13508	791.31	18392	12701	18496	9663.8	11213	9092.8	12599	13031	13508	791.31
Q6PDB4	18864	9314.5	19479	13734	14069	14265	32988	30200	39881	3006.3	18864	9314.5	19479	13734	14069	14265	32988	30200	39881	3006.3
Q6ZSY5	22449	24658	20124	24996	37458	20293	31376	16043	20666	1190.5	22449	24658	20124	24996	37458	20293	31376	16043	20666	1190.5
Q9Y6E2;Q7L1Q6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q7Z406	1353.9	1085	1189.1	2129.7	1205.9	1355.5	4871.6	5588	5587.4	742.41	1353.9	1085	1189.1	2129.7	1205.9	1355.5	4871.6	5588	5587.4	742.41
Q8IUL8	18437	18911	19307	16164	22734	18616	22549	22857	21684	1709.2	18437	18911	19307	16164	22734	18616	22549	22857	21684	1709.2
Q8N2N9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8N7X4	1790.6	2008.2	2443.1	1784.2	3048.6	1589.2	3756.7	2799.8	2480.9	721.17	1790.6	2008.2	2443.1	1784.2	3048.6	1589.2	3756.7	2799.8	2480.9	721.17
Q8TBA6	44030	45341	36514	30728	35848	26257	62473	58476	52795	3070.8	44030	45341	36514	30728	35848	26257	62473	58476	52795	3070.8
Q92889	701.42	299.06	3755.2	2021.5	3191.7	2071.5	1841.2	3796.6	2932	400.52	701.42	299.06	3755.2	2021.5	3191.7	2071.5	1841.2	3796.6	2932	400.52
Q96AE4;Q92945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96PV0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q99729	27966	9986.3	18805	16558	15459	9572.8	23786	24765	24023	4262	27966	9986.3	18805	16558	15459	9572.8	23786	24765	24023	4262
